가격,등급,용량,모델명
110000,B급,128GB,아이폰7
80000,B급,64GB,아이폰6
660000,A급,256GB,아이폰13프로
180000,S급,64GB,아이폰8
1450000,B급,256GB,아이폰15프로
900000,B급,256GB,아이폰14프로
100000,B급,64GB,아이폰6
460000,S급,128GB,아이폰13
113000,S급,128GB,아이폰15프로
100000,S급,64GB,아이폰6
270000,S급,64GB,아이폰11
1050000,B급,128GB,아이폰15프로
670000,A급,256GB,아이폰13프로
950000,B급,256GB,아이폰14프로
265000,S급,64GB,아이폰11
1200000,B급,128GB,아이폰15프로
160000,S급,64GB,아이폰8
280000,S급,64GB,아이폰12미니
90000,S급,64GB,아이폰6
180000,S급,64GB,아이폰8
1200000,B급,128GB,아이폰15프로
330000,S급,128GB,아이폰12미니
90000,B급,16GB,아이폰6
100000,S급,16GB,아이폰6
220000,S급,256GB,아이폰8
250000,A급,128GB,아이폰11
1450000,S급,256GB,아이폰15프로맥스
210000,B급,256GB,아이폰8
250000,B급,128GB,아이폰12미니
150000,B급,64GB,아이폰11
180000,B급,64GB,아이폰미니12
1300000,B급,512GB,아이폰15프로
1000000,B급,256GB,아이폰14프로맥스
95000,A급,16GB,아이폰6
760000,S급,128GB,아이폰14
720000,B급,512GB,아이폰13프로
850000,B급,128GB,아이폰14프로
930000,A급,128GB,아이폰14프로
179000,B급,256GB,아이폰7
1450000,B급,256GB,아이폰15프로
1150000,B급,128GB,아이폰15프로
500000,B급,256GB,아이폰13미니
74000,B급,16GB,아이폰5S
85000,B급,16GB,아이폰6
410000,S급,128GB,아이폰12
830000,B급,128GB,아이폰14
190000,B급,128GB,아이폰xr
280000,B급,128GB,아이폰12미니
250000,B급,128GB,아이폰12
100000,B급,64GB,아이폰6
350000,S급,128GB,아이폰12프로
1150000,S급,128GB,아이폰15프로
420000,S급,128GB,아이폰12프로
580000,B급,128GB,아이폰13
250000,A급,128GB,아이폰11
250000,B급,128GB,아이폰11
580000,B급,128GB,아이폰13
1280000,S급,128GB,아이폰15프로
190000,B급,64GB,아이폰11
165000,B급,256GB,아이폰8
360000,B급,256GB,아이폰11프로맥스
140000,B급,16GB,아이폰SE
280000,B급,128GB,아이폰12미니
105000,B급,32GB,아이폰7
200000,B급,64GB,아이폰X
180000,B급,64GB,아이폰x
210000,B급,64GB,아이폰12미니
210000,B급,64GB,아이폰12미니
450000,B급,128GB,아이폰12프로
580000,B급,256GB,아이폰13프로
150000,B급,128GB,아이폰7플러스
1450000,S급,256GB,아이폰15프로맥스
1100000,S급,256GB,아이폰15프로
550000,S급,128GB,아이폰13
1650000,S급,512GB,아이폰15프로맥스
300000,B급,128GB,아이폰12미니
200000,B급,128GB,아이폰7
175000,B급,64GB,아이폰SE
1230000,S급,128GB,아이폰15프로
750000,B급,128GB,아이폰14프로
1700000,B급,512GB,아이폰15프로
170000,B급,128GB,아이폰SE
1560000,B급,256GB,아이폰15프로맥스
1560000,S급,256GB,아이폰15프로맥스
171500,B급,128GB,아이폰7플러스
280000,B급,256GB,아이폰XS
1240000,S급,256GB,아이폰15프로
420000,B급,128GB,아이폰12프로
610000,B급,128GB,아이폰14
185000,B급,64GB,아이폰12미니
1300000,B급,256GB,아이폰15프로
370000,B급,64GB,아이폰11프로맥스
550000,B급,256GB,아이폰12프로
950000,B급,512GB,아이폰14프로맥스
140000,B급,64GB,아이폰11
1300000,B급,256GB,아이폰15프로
1700000,B급,512GB,아이폰15프로
750000,B급,256GB,아이폰13프로
1100000,B급,128GB,아이폰15프로
160000,B급,64GB,아이폰SE
1100000,B급,128GB,아이폰15프로
350000,B급,256GB,아이폰13미니
1100000,B급,256GB,아이폰14프로맥스
1350000,B급,256GB,아이폰15프로
180000,B급,128GB,아이폰SE2
1080000,B급,1TB,아이폰14프로
880000,B급,128GB,아이폰14프로
1300000,B급,256GB,아이폰15프로
1350000,S급,256GB,아이폰15프로
1150000,B급,256GB,아이폰14
1100000,B급,256GB,아이폰15플러스
180000,S급,64GB,아이폰XS
180000,S급,128GB,아이폰SE2
310000,B급,256GB,아이폰12
1570000,B급,512GB,아이폰15프로맥스
490000,B급,256GB,아이폰12프로
650000,B급,128GB,아이폰12프로
250000,B급,128GB,아이폰12미니
