상품정보,가격,장소,등급,용량,모델명
아이폰 14 128GB A-급 91%,620000,천호제1동,A급,128GB,아이폰14
아이폰 12미니 64GB 저렴,230000,천호제1동,B급,64GB,아이폰12미니
아이폰7 128G 블랙 S급! 해외버전 카메라무음,160000,청라1동,S급,128GB,아이폰7
아이폰6S 64G 로즈골드 S급!!,150000,청라1동,S급,64GB,아이폰6s
아이폰13미니 128G 미드나이트 S급!,460000,청라1동,S급,128GB,아이폰13미니
아이폰8 64G 그레이 S급!,170000,청라1동,S급,64GB,아이폰8
아이폰12 64G 퍼플 S급!,370000,청라1동,S급,64GB,아이폰12
아이폰7플러스 128G 레드 S급!,190000,청라1동,S급,128GB,아이폰7플러스
아이폰 15 프로맥스 256gb 무음카메라 해외판,1500000,반포3동,B급,256GB,아이폰15프로맥스
아이폰 7 32GB,100000,,B급,32GB,아이폰7
아이폰13미니 128gb84 단품,370000,송정동,B급,128GB,아이폰13미니
아이폰 13 미니 128GB 그린,330000,회천4동,B급,128GB,아이폰13미니
아이폰11프로맥스 256G 골드 S급!,460000,청라1동,S급,256GB,아이폰11프로맥스
아이폰Xs 64G 그레이 S급!,300000,청라1동,S급,64GB,아이폰Xs
아이폰7플러스 32G 블랙 S급!,160000,청라1동,S급,32GB,아이폰7플러스
아이폰13프로맥스 128기가 판매합니다,730000,이동,B급,128GB,아이폰13프로맥스
아이폰xs 64g 급처,260000,쌍용1동,B급,64GB,아이폰xs
아이폰8 64G 레드 S급!,170000,청라1동,S급,64GB,아이폰8
아이폰8 256G 로즈골드 S급!,195000,청라1동,S급,256GB,아이폰8
아이폰13미니 256G 핑크 S급!,530000,청라1동,S급,256GB,아이폰13미니
아이폰12미니 64G 블랙 A급 21만,210000,구의제1동,A급,64GB,아이폰12미니
아이폰12미니 128G 화이트 S급!,280000,청라1동,S급,128GB,아이폰12미니
아이폰12미니 128G 민트 A급 28만,280000,구의제1동,A급,128GB,아이폰12미니
"[미개봉] 아이폰15 플러스 256블랙, 자급제 공기계",1200000,부천동,S급,256GB,아이폰15플러스
아이폰13미니 128G 화이트 특SS급 배터리95%43,430000,구의제1동,S급,128GB,아이폰13미니
아이폰SE2 128G 화이트 S급 17만,170000,구의제1동,S급,128GB,아이폰SE2
아이폰8 64G 레드 S급 18만,180000,구의제1동,S급,64GB,아이폰8
아이폰13 128G 핑크 특S급 51만,510000,구의제1동,S급,128GB,아이폰13
아이폰14프로 256G 실버 S급!,960000,청라1동,S급,256GB,아이폰14프로
아이폰X 256G 그레이 A급!,270000,청라1동,A급,256GB,아이폰X
아이폰12미니 128G 블랙 S급!,340000,청라1동,S급,128GB,아이폰12미니
아이폰11 64G 화이트 S급!,260000,청라1동,S급,64GB,아이폰11
[구매글] 아이폰13프로 512기가 실버 미개봉 구매,1300000,,S급,512GB,아이폰13프로
